Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
32898885	2018-06-01	India	NA	India	Arrest, detain, or charge with legal action	173	-5	Insurgent (Indian Mujahideen)	International Religious,Muslim,Dissident,International Dissident,International Insurgents,Radicals / Extremists / Fundamentalists	India	47407750	1	Hindustan Times	Patna	NA	State of Bihar	India	25.6022	85.1194
32899010	2018-06-01	Police (India)	Government,Police	India	Arrest, detain, or charge with legal action	173	-5	Men (India)	General Population / Civilian / Social,Social	India	47407752	1	Hindustan Times	Greater Noida	Meerut	State of Uttar Pradesh	India	28.4961	77.536
32899011	2018-06-01	Police (India)	Government,Police	India	Arrest, detain, or charge with legal action	173	-5	Citizen (India)	General Population / Civilian / Social,Social	India	47407752	2	Hindustan Times	Ghaziabad	NA	State of Uttar Pradesh	India	28.6625	77.4378
32898886	2018-06-01	State Media (Saudi Arabia)	Government,Information / Communication / Transparency Ministry,State Media,Executive	Saudi Arabia	Make statement	010	0	Salman bin Abdulaziz al-Saud	Government,Executive Office,Executive,Elite	Saudi Arabia	47407758	4	Agence France-Presse	Mecca	NA	Makkah	Saudi Arabia	21.4267	39.8261
32898887	2018-06-01	Saudi Arabia	NA	Saudi Arabia	Express intent to engage in diplomatic cooperation (such as policy support)	032	4.5	Muslim (Saudi Arabia)	Muslim,National Religious,Social,International Religious	Saudi Arabia	47407758	5	Agence France-Presse	Mecca	NA	Makkah	Saudi Arabia	21.4267	39.8261
32896138	2018-06-01	Matteo Salvini	Parties,Secular,Ideological,(National) Minor Party	Italy	Threaten	130	-4.4	Immigrants (Italy)	General Population / Civilian / Social,Social	Italy	47407759	5	Agence France-Presse	Sicilia	Provincia di Siracusa	Sicilia	Italy	37.0738	15.279
32896133	2018-06-01	Head of Government (Yemen)	Executive,Government,Executive Office	Yemen	Consult	040	1	Governor (Yemen)	Local,Provincial,Government	Yemen	47407763	3	Yemen News Agency (SABA)	Sana'a	NA	Sanaa	Yemen	15.3547	44.2067
32896135	2018-06-01	Governor (Yemen)	Local,Provincial,Government	Yemen	Consult	040	1	Head of Government (Yemen)	Executive,Government,Executive Office	Yemen	47407763	3	Yemen News Agency (SABA)	Sana'a	NA	Sanaa	Yemen	15.3547	44.2067
32896134	2018-06-01	Head of Government (Yemen)	Executive,Government,Executive Office	Yemen	Engage in negotiation	046	7	Governor (Yemen)	Local,Provincial,Government	Yemen	47407763	4	Yemen News Agency (SABA)	Sana'a	NA	Sanaa	Yemen	15.3547	44.2067
32896136	2018-06-01	Governor (Yemen)	Local,Provincial,Government	Yemen	Engage in negotiation	046	7	Head of Government (Yemen)	Executive,Government,Executive Office	Yemen	47407763	4	Yemen News Agency (SABA)	Sana'a	NA	Sanaa	Yemen	15.3547	44.2067
32896137	2018-06-01	Armed Gang (Mexico)	Unidentified Forces	Mexico	fight with small arms and light weapons	193	-10	Mexico	NA	Mexico	47407767	2	EFE News Service	Salamanca	NA	Estado de Chihuahua	Mexico	27.25	-105.617
32898891	2018-06-01	Singapore	NA	Singapore	Criticize or denounce	111	-2	China	NA	China	47407771	1	Kyodo News	Beijing	NA	Beijing Shi	China	39.9075	116.397
32897111	2018-06-01	Congress (India)	Government,Legislative / Parliamentary	India	Praise or endorse	051	3.4	Party Member (India)	Parties	India	47407773	4	Hindustan Times	Shamli	NA	State of Uttar Pradesh	India	29.4493	77.3128
32897112	2018-06-01	Citizen (India)	General Population / Civilian / Social,Social	India	Criticize or denounce	111	-2	Bharatiya Janata	Parties,Opposition Major Party (Out Of Government),(National) Major Party	India	47407773	6	Hindustan Times	Kairana	NA	State of Uttar Pradesh	India	29.3959	77.2056
32896234	2018-06-01	Bharatiya Janata	Parties,Opposition Major Party (Out Of Government),(National) Major Party	India	Make statement	010	0	India	NA	India	47407774	1	Hindustan Times	Patna	NA	State of Bihar	India	25.6022	85.1194
32900248	2018-06-01	Akhilesh Yadav	Government	India	Make statement	010	0	Bharatiya Janata	Parties,Opposition Major Party (Out Of Government),(National) Major Party	India	47407778	1	Hindustan Times	Kairana	NA	State of Uttar Pradesh	India	29.3959	77.2056
32900249	2018-06-01	Samajwadi Janata Party	Parties,Opposition Major Party (Out Of Government),(National) Major Party	India	Reject	120	-4	Citizen (India)	General Population / Civilian / Social,Social	India	47407778	2	Hindustan Times	Kairana	NA	State of Uttar Pradesh	India	29.3959	77.2056
32896595	2018-06-01	Police (India)	Government,Police	India	Complain officially	114	-2	Men (India)	General Population / Civilian / Social,Social	India	47407783	1	Hindustan Times	Gorakhpur	NA	State of Madhya Pradesh	India	22.7494	81.4407
32896596	2018-06-01	Police (India)	Government,Police	India	Arrest, detain, or charge with legal action	173	-5	Men (India)	General Population / Civilian / Social,Social	India	47407783	1	Hindustan Times	Gorakhpur	NA	State of Madhya Pradesh	India	22.7494	81.4407
32899013	2018-06-01	Sushil Kumar Modi	Government,Provincial,Local	India	Make statement	010	0	Government (India)	Government	India	47407784	3	Hindustan Times	Patna	NA	State of Bihar	India	25.6022	85.1194
32899012	2018-06-01	Police (India)	Government,Police	India	Arrest, detain, or charge with legal action	173	-5	Citizen (India)	General Population / Civilian / Social,Social	India	47407785	2	Hindustan Times	Chandni Chowk	NA	Punjab	Pakistan	33.6308	73.0736
32898893	2018-06-01	India	NA	India	Threaten	130	-4.4	Women (India)	General Population / Civilian / Social,Social	India	47407787	1	Hindustan Times	New Delhi	NA	National Capital Territory of Delhi	India	28.6358	77.2244
32898892	2018-06-01	Women (India)	General Population / Civilian / Social,Social	India	Accuse	112	-2	India	NA	India	47407787	1	Hindustan Times	New Delhi	NA	National Capital Territory of Delhi	India	28.6358	77.2244
32896142	2018-06-01	Government (India)	Government	India	Make an appeal or request	020	3	Member of the Judiciary (India)	Judicial,Government	India	47407791	4	Hindustan Times	Delhi	NA	National Capital Territory of Delhi	India	28.6538	77.229
32896139	2018-06-01	Treasury/Finance Ministry (India)	Government,Executive,Finance / Economy / Commerce / Trade Ministry	India	Express intent to cooperate	030	4	Citizen (India)	General Population / Civilian / Social,Social	India	47407792	1	Hindustan Times	Haryana	NA	State of Haryana	India	29.6161	76.9806
32896140	2018-06-01	Unity Party	(National) Major Party,Parties	Liberia	Make an appeal or request	020	3	Yogi Adityanath	Government,Provincial,Local	India	47407793	1	Hindustan Times	Etawah	NA	State of Uttar Pradesh	India	26.7778	79.0216
32896141	2018-06-01	Unity Party	(National) Major Party,Parties	Liberia	Rally opposition against	113	-2	Police (India)	Government,Police	India	47407793	1	Hindustan Times	Etawah	NA	State of Uttar Pradesh	India	26.7778	79.0216
32899015	2018-06-01	Yogi Adityanath	Government,Provincial,Local	India	Make statement	010	0	Bharatiya Janata	Parties,Opposition Major Party (Out Of Government),(National) Major Party	India	47407794	1	Hindustan Times	Lucknow	NA	State of Uttar Pradesh	India	26.8393	80.9231
32899018	2018-06-01	Head of Government (India)	Government,Executive Office,Executive	India	Consult	040	1	Yogi Adityanath	Government,Provincial,Local	India	47407794	4	Hindustan Times	Etawah	NA	State of Uttar Pradesh	India	26.7778	79.0216
32899019	2018-06-01	Member of Parliament (India)	Government,Legislative / Parliamentary	India	Consult	040	1	Yogi Adityanath	Government,Provincial,Local	India	47407794	4	Hindustan Times	Etawah	NA	State of Uttar Pradesh	India	26.7778	79.0216
32899016	2018-06-01	Yogi Adityanath	Government,Provincial,Local	India	Consult	040	1	Head of Government (India)	Government,Executive Office,Executive	India	47407794	4	Hindustan Times	Etawah	NA	State of Uttar Pradesh	India	26.7778	79.0216
32899017	2018-06-01	Yogi Adityanath	Government,Provincial,Local	India	Consult	040	1	Member of Parliament (India)	Government,Legislative / Parliamentary	India	47407794	4	Hindustan Times	Etawah	NA	State of Uttar Pradesh	India	26.7778	79.0216
32899014	2018-06-01	Police (India)	Government,Police	India	Provide humanitarian aid	073	7.4	Citizen (India)	General Population / Civilian / Social,Social	India	47407795	4	Hindustan Times	Hapur	NA	State of Uttar Pradesh	India	28.7304	77.7814
32898894	2018-06-01	Police (India)	Government,Police	India	Provide humanitarian aid	073	7.4	Citizen (India)	General Population / Civilian / Social,Social	India	47407796	4	Hindustan Times	Noida	Meerut	State of Uttar Pradesh	India	28.58	77.33
32898896	2018-06-01	India	NA	India	Threaten	130	-4.4	Women (India)	General Population / Civilian / Social,Social	India	47407797	1	Hindustan Times	New Delhi	NA	National Capital Territory of Delhi	India	28.6358	77.2244
32898895	2018-06-01	Women (India)	General Population / Civilian / Social,Social	India	Accuse	112	-2	India	NA	India	47407797	1	Hindustan Times	New Delhi	NA	National Capital Territory of Delhi	India	28.6358	77.2244
32899020	2018-06-01	António Manuel de Oliveira Guterres	International Government Organization,Government,International Religious,Center Left,Ideological,Global,Global Diplomatic IGOs,Elite,(National) Minor Party,Parties,Catholic	Portugal	Praise or endorse	051	3.4	Algeria	NA	Algeria	47407807	6	L'Expression	Bamako	NA	Bamako Region	Mali	12.65	-8
32896252	2018-06-01	China	NA	China	Host a visit	043	2.8	Wilbur Ross	Government,Executive,Finance / Economy / Commerce / Trade Ministry	United States	47407816	1	Associated Press Newswires	Beijing	NA	Beijing Shi	China	39.9075	116.397
32896251	2018-06-01	Wilbur Ross	Government,Executive,Finance / Economy / Commerce / Trade Ministry	United States	Make a visit	042	1.9	China	NA	China	47407816	1	Associated Press Newswires	Beijing	NA	Beijing Shi	China	39.9075	116.397
32896334	2018-06-01	Kim Yong-chol	Government	North Korea	Consult	040	1	Donald Trump	Government,Executive Office,Executive	United States	47407818	6	Yonhap English News	NA	NA	Washington D.C.	United States	38.9171	-77.0003
32896143	2018-06-01	Donald Trump	Government,Executive Office,Executive	United States	Consult	040	1	Kim Yong-chol	Government	North Korea	47407818	6	Yonhap English News	NA	NA	Washington D.C.	United States	38.9171	-77.0003
32899022	2018-06-01	Chief of Staff (Russia)	Government,Executive Office,Executive	Russian Federation	Make statement	010	0	Naval (Russia)	Government,Navy,Military	Russian Federation	47407819	2	Trend News Agency (Azerbaijan)	NA	NA	NA	Russian Federation	55.7522	37.6156
32898898	2018-06-01	Kim Yong-chol	Government	North Korea	Make a visit	042	1.9	Donald Trump	Government,Executive Office,Executive	United States	47407820	1	Straits Times	NA	NA	Washington D.C.	United States	38.9171	-77.0003
32898897	2018-06-01	Donald Trump	Government,Executive Office,Executive	United States	Host a visit	043	2.8	Kim Yong-chol	Government	North Korea	47407820	1	Straits Times	NA	NA	Washington D.C.	United States	38.9171	-77.0003
32896236	2018-06-01	Citizen (India)	General Population / Civilian / Social,Social	India	Use unconventional violence	180	-9	India	NA	India	47407832	2	Hindustan Times	Pune	Satara Division	State of Maharashtra	India	18.5196	73.8553
32896235	2018-06-01	Villager (India)	General Population / Civilian / Social,Social	India	Conduct strike or boycott	143	-6.5	Unspecified Actor	Unspecified	NA	47407832	4	Hindustan Times	Pune	Satara Division	State of Maharashtra	India	18.5196	73.8553
32899021	2018-06-01	Police (India)	Government,Police	India	Arrest, detain, or charge with legal action	173	-5	Kidnapper (India)	Criminals / Gangs,Dissident	India	47407836	2	Hindustan Times	Ghaziabad	NA	State of Uttar Pradesh	India	28.6625	77.4378
32896335	2018-06-01	Media Personnel (India)	Media,Social	India	Make statement	010	0	Police (India)	Government,Police	India	47407837	2	Hindustan Times	Lucknow	NA	State of Uttar Pradesh	India	26.8393	80.9231
32896336	2018-06-01	Justin Trudeau	Government,Executive Office,Executive,(National) Major Party,Parties,Center Left,Ideological,Legislative / Parliamentary	Canada	Accuse	112	-2	Donald Trump	Government,Executive Office,Executive	United States	47407849	2	Agence France-Presse	NA	NA	NA	United States	38.8951	-77.0364
32898899	2018-06-01	Donald Trump	Government,Executive Office,Executive	United States	Express intent to meet or negotiate	036	4	Kim Jong-Un	Elite,Executive,Government,Executive Office,(National) Major Party,Parties,Government Major Party (In Government)	North Korea	47407850	1	Agence France-Presse	Pyongyang	NA	P'yongyang-si	North Korea	39.0339	125.754
32898901	2018-06-01	Malcolm Bligh Turnbull	Legislative / Parliamentary,Government,Executive Office,Elite,Executive,Lower House,(National) Major Party,Opposition Major Party (Out Of Government),Parties	Australia	Engage in diplomatic cooperation	050	3.5	Alexander Downer	Elite,(National) Major Party,Opposition Major Party (Out Of Government),Parties	Australia	47407856	2	Australian Associated Press	Adelaide Hills	Adelaide Hills	State of South Australia	Australia	-34.9112	138.707
32898900	2018-06-01	Malcolm Bligh Turnbull	Legislative / Parliamentary,Government,Executive Office,Elite,Executive,Lower House,(National) Major Party,Opposition Major Party (Out Of Government),Parties	Australia	Make statement	010	0	Alexander Downer	Elite,(National) Major Party,Opposition Major Party (Out Of Government),Parties	Australia	47407856	3	Australian Associated Press	Adelaide Hills	Adelaide Hills	State of South Australia	Australia	-34.9112	138.707
32899222	2018-06-01	Kim Jong-Un	Elite,Executive,Government,Executive Office,(National) Major Party,Parties,Government Major Party (In Government)	North Korea	Express intent to cooperate	030	4	Moon Jae-in	Executive,Government,Executive Office	South Korea	47407929	4	Korea Times	Paju	NA	Gyeonggi Province	South Korea	37.8328	126.817
32899221	2018-06-01	Moon Jae-in	Executive,Government,Executive Office	South Korea	Express intent to cooperate	030	4	Kim Jong-Un	Elite,Executive,Government,Executive Office,(National) Major Party,Parties,Government Major Party (In Government)	North Korea	47407929	4	Korea Times	Paju	NA	Gyeonggi Province	South Korea	37.8328	126.817
32898908	2018-06-01	North Korea	NA	North Korea	Engage in diplomatic cooperation	050	3.5	United States	NA	United States	47407930	1	Korea Times	New York City	NA	state of New York	United States	40.7143	-74.006
32898907	2018-06-01	United States	NA	United States	Engage in diplomatic cooperation	050	3.5	North Korea	NA	North Korea	47407930	1	Korea Times	New York City	NA	state of New York	United States	40.7143	-74.006
32899030	2018-06-01	Donald Trump	Government,Executive Office,Executive	United States	Express intent to meet or negotiate	036	4	Kim Jong-Un	Elite,Executive,Government,Executive Office,(National) Major Party,Parties,Government Major Party (In Government)	North Korea	47407931	2	Korea Times	New York City	NA	state of New York	United States	40.7143	-74.006
32898909	2018-06-01	Kim Jong-Un	Elite,Executive,Government,Executive Office,(National) Major Party,Parties,Government Major Party (In Government)	North Korea	Make statement	010	0	Sergey Viktorovich Lavrov	Government,Cabinet,Executive,Ideological,(National) Major Party,Parties,Center Right,Foreign Ministry	Russian Federation	47407932	2	Korea Times	Pyongyang	NA	P'yongyang-si	North Korea	39.0339	125.754
32898910	2018-06-01	Kim Jong-Un	Elite,Executive,Government,Executive Office,(National) Major Party,Parties,Government Major Party (In Government)	North Korea	Make statement	010	0	North Korea	NA	North Korea	47407932	3	Korea Times	Pyongyang	NA	P'yongyang-si	North Korea	39.0339	125.754
